8 EIXOS DE TECNOLOGIA E ECONOMIA CRIATIVA																
DIRETORIA DE EDUCAÇÃO PROFISSIONAL - DEP 																
COORDENAÇÃO PEDAGÓGICA - CPED																
PORTFÓLIO 2026																
PORTFÓLIO  DE CURSOS SENAC DF: TI 																
Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. DN	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Valores	Observações / Orientações	UNIDADE QUE PODE SER RODADO	Compatível com bolsa	Comercial*	PCN	PCR
Tecnologia e Games	Presencial 	Técnico em Redes de Computadores	1000h	2674	122114	2019	HABILITAÇÃO TÉCNICA	2025	2024.000000852-73	2024 | R$  4.438,00	"Precificação de 2024
Processo sem andamento aberto"		Sim			
Tecnologia e Games	Presencial 	Técnico em Segurança Cibernética	1000h	2929	124379	2025	HABILITAÇÃO TÉCNICA	2025	2024.000005157-15	2025 | R$ 5800	OK	"RESOLUÇÃO SENAC AR/DF 1619/2025
CEP TALAL ABU-ALLAN, JOAQUIM LOIOLA, JESSÉ FREIRE, SOBRADINHO E JÓ RUFINO E CARLOS AGUIAR
POLO BRAZLÂNDIA, SANTA MARIA E SÃO SEBASTIÃO"	Sim			
Tecnologia e Games	Presencial 	Informática Básica	20h	116166	116170	2024	APERFEIÇOAMENTO	2025	2024.000004712-38	2025 | R$140	OK	TODAS AS UNIDADES	Sim	Sim	Não	Sim
Tecnologia e Games	Presencial 	Adobe Rush Edição de Vídeos para Mídias Sociais	28h	8551.70	Não informado	2025	APERFEIÇOAMENTO	2025	2025.000000091-77	2025 | R$ 250	OK		Sim			
Tecnologia e Games	Presencial 	Angular Interfaces Front-End	40h	134544	134756	2025	APERFEIÇOAMENTO	2025	2025.000000079-81	2025 | R$300	OK		Sim			
Tecnologia e Games	Presencial 	Cientista de Dados com Azure	40h	984.42	Não informado	2025	APERFEIÇOAMENTO	2025	2025.000000092-58	2025 | R$450,00 	OK		Sim			
Tecnologia e Games	Presencial 	Construção de Bots com IA	40h	3109.3	Não informado	2025	APERFEIÇOAMENTO	2025	2025.000001178-16	2025 | R$420	OK		Sim			
Tecnologia e Games	Presencial 	Criação e Publicação de Games	36h	134343	134346	2025	APERFEIÇOAMENTO	2025	2025.000000069-17	2025 | R$420	OK		Sim			
Tecnologia e Games	Presencial 	Criando seu Primeiro Game	28h	2613.23	Não informado	2025	APERFEIÇOAMENTO	2025	2025.000000064-02	2025 | R$270	OK		Sim			
Tecnologia e Games	Presencial 	Desenvolvedor de Games 	529h	3086	Não informado	2022	QUALIFICAÇÃO	2025	2025.000000895-11	2025 | R$ 2.720	OK		Sim			
Tecnologia e Games	Presencial 	Desenvolvedor Web Back-end NodeJs	40h	285.29	Não informado	2025	APERFEIÇOAMENTO	2025	2025.000000089-52	2025 | R$ 370	OK		Sim			
Tecnologia e Games	Presencial 	Desenvolvimento de Jogos Digitais em Unity	48h	2163.12	Não informado	2025	APERFEIÇOAMENTO	2025	2025.000000085-29	2025 | R$ 430	OK		Sim			
Tecnologia e Games	Presencial 	Design de Jogos 2d com Pixel Art	40h	134752	134754	2025	APERFEIÇOAMENTO	2025	2025.000000084-48	2025 | R$ 299	OK		Sim			
Tecnologia e Games	Presencial 	Excel - criando planilhas interativas e dashboard	34h	391131	Não informado	2025	APERFEIÇOAMENTO	2025	2025.000000065-85	2025 | R$ 198	OK		Sim			
Tecnologia e Games	Presencial 	Excel - Iniciação em Macros	24h	1746.58	Não informado	2025	APERFEIÇOAMENTO	2025	2025.000000060-71	2025 | R$ 250	OK		Sim			
Tecnologia e Games	Presencial 	Excel com Business Intelligence	40h	134652	"	135208"	2025	APERFEIÇOAMENTO	2025	2025.000000083-67	2025 | R$400	OK		Sim			
Tecnologia e Games	Presencial 	Games 2D - Criando seu Primeiro Jogo	40h	134336	134748	2025	APERFEIÇOAMENTO	2025	2025.000000087-91	2025 | R$ 370	OK		Sim			
