N°	SEI	SIG	Títulos Retificativos PCA 2025 - CPED	CH	Precificação	Valor 1º Módulo	N° Parcelas - Boleto	Valor Parcela - Boleto	N° Parcelas - Cartão	Valor - Cartão	Parcela com 15%	Parcelas 20%		
93	2023.000001346-66	117615	Técnico em Enfermagem	1800	R$ 9.800,00	 R$ 3.390,48 	-	-	-	-	-	-		
	2023.000001138-21		Técnicas Básicas para  Cozinheiro	80	R$ 960,00	 - 	1	R$ 960,00	12	R$ 80,00	R$ 68,00	R$ 64,00		
94	2023.000001967-77	122335	Técnico em Finanças	900	R$ 3.359,99	  R$ 1.391,08 	-	-	-	-	-	-		
95	2023.000001906-55	128584	Técnico em Gastronomia 	800	R$ 7.219,00	 R$ 3.391,52 	-	-	-	-	-	-		
96	2025.000000004-63	128852	Técnico em Imagem Pessoal 	800	R$ 9.823,00	 R$ 5.104,32 	-	-	-	-	-	-		
97	2025.000000892-60	128411	Técnico em Inteligência Artificial 	1200	R$ 6.232,00	 R$ 1.889,16 	-	-	-	-	-	-		
98	2023.000001173-11	121939	Técnico em Logística 	800	R$ 3.745,00	  R$ 1.815,84 	-	-	-	-	-	-		
99	2023.000001762-37	122019	Técnico em Massoterapia 	1200	R$ 5.499,99	  R$ 1.960,24 	-	-	-	-	-	-		
100	2024.000003152-95	127943	Técnico em Multimídia 	800	R$ 4.530,00	  R$ 1.743,28 	-	-	-	-	-	-		
101	2023.000001146-31	121386	Técnico em Nutrição E Dietética 	1200	R$ 5.500,00	  R$ 2.015,20 	-	-	-	-	-	-		
102	2023.000001570-11	117562	Técnico em Podologia 	1200	R$ 6.499,00	  R$ 2.017,93 	-	-	-	-	-	-		
103	2024.000003149-90	128565	Técnico em Processos Fotográficos	800	R$ 4.349,00	 R$ 1.846,20 	-	-	-	-	-	-		
104	2024.000003421-87	128358	Técnico em Produção Cultural 	800	R$ 4.449,00	 R$ 1.200,96 	-	-	-	-	-	-		
