SEGMENTO	 	TIPO	NÚMERO SEI	CÓDIGO SIG	MÊS DE ENTREGA	STATUS	ORIGEM	OBSERVAÇÃO	STATUS	
Gastronomia	Decoração de Bolos	APERFEIÇOAMENTO	2025.000000979-55		Fevereiro	NUCOMP solicita validação de precificação da CPED 	Plano de Metas	Em Processo de Elaboração/Retificativo plano de metas	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Moda e Costura	Desenhista de Moda	QUALIFICAÇÃO	2025.000000119-11		Fevereiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	Previsto Março, entregue Fevereiro	PUBLICADO	
Tecnologia e Games	Desenvolvedor de Games	QUALIFICAÇÃO	2025.000000895-11	 	Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	  	PUBLICADO	
Tecnologia e Games	Desenvolvedor Web Back-end: NodeJs	APERFEIÇOAMENTO	2025.000000089-52		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		PUBLICADO	
Tecnologia e Games	Desenvolvimento de Jogos Digitais em Unity (48h)	APERFEIÇOAMENTO	2025.000000085-29	 	Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		PUBLICADO	
Gastronomia	Doces Brasileiros	APERFEIÇOAMENTO	2025.000000451-31		Janeiro	PUBLICADO	Plano de Metas	"Retificativo plano de metas / 
Faltando Parecer de Preficificação CPED."	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia	Doces de Boutique	APERFEIÇOAMENTO	2024.000005270-47		Janeiro	PUBLICADO	Plano de Metas	Retificativo plano de metas	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Ambiente e Saúde	Doula	QUALIFICAÇÃO	2025.000000940-00		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	Em elaboração	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Comércio	Empreendedorismo Digital	APERFEIÇOAMENTO	2025.000000577-32		Fevereiro	PUBLICADO NA INTRANET/ESTÁ COMO RASCUNHO NO SIG	Plano de Metas	entregue em fevereiro	PUBLICADO	
Beleza e Cuidado Pessoal	Escova e Modelagem 	APERFEIÇOAMENTO	2025.000000490-47		Maio	PUBLICADO	Plano de Metas		PUBLICADO	
