DIRETORIA DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA - DEP 																		
COORDENAÇÃO PEDAGÓGICA - CPED																		
PORTFÓLIO 2025																		
PORTFÓLIO  DE CURSOS SENAC DF: GASTRONOMIA																		
"Status SIG
(Ativo ou Inativo)"	Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. DN	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Valores 	Observações de Conferência	UNIDADE QUE PODE SER RODADO	Compatível com bolsa	Comercial*	PCN	PCR	
ATIVO	GASTRONOMIA	FIC	Preparo de Bolos Tradicionais	30	231.36	114834	2023	APERFEIÇOAMENTO/ATUALIZAÇÃO	2024	2023.000000528-56	2024 | R$ 459,00	"PRECIFICAÇÃO ANTIGA/
PROCESSO NA NUPAM"		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Salgadeiro 	160	2478	69824	2016	QUALIFICAÇÃO PROFISSIONAL	2025	2023.000002001-20	2025 |R$ 2.039,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Sommelier de Cachaças	100	2316.39	66575	2023	APERFEIÇOAMENTO/ATUALIZAÇÃO	2024	2023.000001447-18	2024 | R$ 1.368,00	"PRECIFICAÇÃO ANTIGA/
PROCESSO NA INST"		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Sommelier de Chá 	40	2.083.116	114982	2024	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2024.000002324-11	2025 |R$ 520,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Sommelier: Vinho	144	2316.13	66274	2023	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2023.000001185-47	2025 |R$ 2.419,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Sommelier de Cerveja	108	2316.12	66305	2024	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2024.000003045-01	2025 |R$ 2.041,99	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Sushiman 	160	2442	128625	2019	QUALIFICAÇÃO PROFISSIONAL	2025	2023.000001914-65	2025 |R$ 2.335,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Técnicas Básicas para Cozinheiro	80	2079.93	123037	2023	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2023.000001138-21	2025 |R$ 1051,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Técnicas de Confeitaria	60	231412	105.322	2023	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2023.000001137-40	2025 |R$ 988,99	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Técnicas de Petiscos e Comida de Boteco	40	2079.58	66504	2019	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2023.000002000-49	2025 |R$ 721,00	OK		SIM	SIM			
