DIRETORIA DE EDUCAÇÃO PROFISSIONAL - DEP 																
COORDENAÇÃO PEDAGÓGICA - CPED																
PORTFÓLIO 2025																
PORTFÓLIO  DE CURSOS SENAC DF: GESTÃO E NEGÓCIO																
Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Observações/Orientações	Valor	Unidade que pode ser rodado	Compatível com bolsa	Comercial*	PCN	PCR	
Comércio	FIC	Administração de Contas a Pagar, Contas a Receber e Tesouraria 	24	2397.1	2018	Aperfeiçoamento	2023	2023.000001252-41	Precificação antiga	2023 | R$ 200,00		SIM		SIM	Não	
Comércio	FIC	Aprendizagem Profissional de Qualificação em Serviços Comerciais (NOVO)	1300	3022	2024	Aprendizagem	2025	2024.000002943-52	"Plano de Curso sem assinatura da Diretoria;

a cadastrar o plano de curso SIG, ativar no DN e cadastrar no DF.

Processo aberto na NUCOMP"	"2025 | R$ 2.193,34

Não tem no processo o preço!"		SIM		SIM	Não	
Comércio	FIC	Aprendizagem Profissional de Qualificação em Serviços de Supermercados	1920	3020	2024	Aprendizagem	2024	2023.000001394-63	"Atualização da carga horária do Plano de Curso, sem assinatura da Mari e Diretoria.

E o Parecer de Precificação pendente para NC. "	"2025 | R$ 2.540,00
(valor antigo referetne a carga horária de 1.300 h)"		SIM		SIM	Não	
Comércio	FIC	Aprendizagem Profissional de Qualificação em Serviços de Vendas	1920	3014	2024	Aprendizagem	2025	2023.000001376-81	ok. No próximo atualizar o ano no Plano de Curso. 	2025 | R$ 3.053,00		SIM		SIM	Não	
Comércio	FIC	Atendimento e Vendas: Planejamento e Estratégias	80	969.115	2022	Aperfeiçoamento	2025	2024.000004797-27	ok. No próximo atualizar o ano no Plano de Curso. 	2025 | R$ 439,00		SIM		SIM	Não	
Comércio	FIC	Compras e Estoque *NOVO	30	2408.1	2018	Aperfeiçoamento	2023	2023.000001714-30	Se é novo, o última atualização do Plano de Curso e Precificação é de 2023. É isso mesmo? 	2023 | R$ 275,00		SIM		SIM	Não	
Comércio	FIC	E-Commerce: Vendendo no Comércio Eletrônico	42	2332	2018	Aperfeiçoamento	2023	2023.000001278-81	ok. No próximo atualizar o ano no Plano de Curso. 	2023 | R$ 298,00		SIM		SIM	Não	
Comércio	FIC	Ferramentas de Marketing Digital	24	2338	2018	Aperfeiçoamento	2023	2023.000001298-24	ok. No próximo atualizar o ano no Plano de Curso. 	2023 | R$ 144,00		SIM		SIM	Não	
Comércio	FIC	Gerenciamento de Custos no Comércio	30	2384.1	2018	Aperfeiçoamento	2025	2023.000001678-31	ok	2025 | R$ 232,00		SIM		SIM	Não	
Comércio	FIC	Inovação de Formatos e Canais de Venda 	30	2342	2018	Aperfeiçoamento	2023	2023.000001481-10	ok. No próximo atualizar o ano no Plano de Curso. 	2023 | R$ 360,00		SIM		 	 	
Comércio	FIC	Liderança Coach	24	2347	2018	Aperfeiçoamento	2023	2023.000001533-77	ok. No próximo atualizar o ano no Plano de Curso. 	2023 | R$ 200,00		SIM		SIM	Não	
Comércio	FIC	Planejamento e Implantação de Loja Virtual	24	2367	2018	Aperfeiçoamento	2023	2023.000001708-91	ok	2023 | R$ 200,00		SIM		SIM	Não	
Comércio	FIC	Planejamento Financeiro para o Comércio 	24	2387	2018	Aperfeiçoamento	2023	2023.000001711-97	ok	2023 | R$ 226,00		SIM		SIM	Não	
Comércio	FIC	Produção de Imagens para Meios Digitais	42	2333	2018	Aperfeiçoamento	2023	2023.000001703-87	ok	2023 | R$ 333,00		SIM		SIM	Não	
Comércio	FIC	Relacionamento com o Cliente e o Pós-Venda 	24	2328	2018	Aperfeiçoamento	2023	2023.000001672-46	ok	2023 | R$ 224,00		SIM		SIM	Não	
Comércio	FIC	Repositor de mercadorias    	160	2456	2018	Qualificação Profissional	2025	2024.000002922-28	ok	2024 | R$ 799,00		SIM		SIM	Não	
Comércio	Habilitação Técnica	Técnico em Transações Imobiliárias	800	2940	2023	Habilitação Técnica	2025	2024.000005092-27	Verificar o número correto do plano de curso. 	2025 | R$ 4.090,00		SIM		 	 	
Comércio	FIC	Analise de Comportamento de Consumo	60	2356.1	2025	Aperfeiçoamento	2025	2025.000000625-74	ok.	2025/R$ 352,00		 		 	 	
Comércio	FIC	Empreendedorismo Digital	60	2352.1	2025	Aperfeiçoamento	2025	2025.000000577-32	Verificar o número do SIG	2025/R$ 650,00		 		 	 	
Comércio	Qualificação	Operador de Caixa	160h	2521	2019	Qualificação Profissional	2025	2025.000000536-64	ok.	2025/R$ 865,00		 		 	 	
Comércio	Qualificação	Vendedor	160h	2470	2018	Aperfeiçoamento	2025	2025.000000469-60	ok.	2025 | R$ 861,00		 		 	 	
Comércio	Aprendizagem	Aprendizagem Profissional de Qualificação em Serviços de Supermercados	1920	3020	2021	Aprendizagem	2025	2023.000001394-63	Falta assinatura da Diretoria no Plano de Curso (Processo na CPED)	2026 | R$ 2.810,00		 		 	 	
Comércio	Aprendizagem	Aprendizagem Profissional de Qualificação em Serviços de Vendas	1920	3014	2021	Aprendizagem	2025	2023.000001376-81	OK 	2025 | R$ 3.053,00		 		 	 	
Comércio	FIC	Empreendedorismo Digital	60	2352.1	2025	Aperfeiçoamento	2025	2025.000000577-32	ok.	R$ 650,00		 		 	 	
Comunicação	FIC	Oratória Experiêncie-  Comunicando com Alta Performance 	42	853.53	2024	Programa SocioProfissional	2025	 2024.000005609-23 	ok.	2025 | R$ 250,00		SIM		 	 	
Comunicação	FIC	Oratória	30h 	786.26	2018	Programa Socioprofissional	2023	2023.000001301-64	Precificação Antiga	2023 | R$ 298,00		SIM		SIM	Não	
Comunicação e Artes	FIC	Copywriting: Redação Web para Marketing e Vendas *NOVO	36	388.49	2024	Aperfeiçoamento	2024	2024.000001066-11	Sem cadastro no SIG DR	2024 | R$ 499,00		SIM		SIM	Não	
Desing	FIC	Criação de Identidade Visual e Manual de Marca 	80	381.21	2018	Aperfeiçoamento	2023	2023.000001715-11	Processo Arquivado	2023 | R$ 782,00		SIM		SIM	Não	
Educacional 	FIC	Assistente de Secretaria Escolar 	180	2902	2021	Qualificação Profissional	2025	2023.000001277-08	ok	2025 | R$ 920,00		SIM		SIM	Não	
Educacional 	FIC	Inclusão de Pessoas com Deficiência: planejamento e prática	36	85.34 	2024	Aperfeiçoamento	2024	2024.000001885-95	Precificação antiga e Parecer falta assinatura da Mari	2024 | R$ 534,00		SIM		SIM	Não	
Educacional 	Habilitação Técnica	Técnico em Secretaria Escolar	800	2905	2021	Habilitação Técnica	2025	2023.000001339-37	ok	2025 | R$ 3.480,00		SIM		SIM	Não	
Educacional 	Habilitação Técnica	Técnico em Secretaria Escolar (NEM)	800	2905	2021	Habilitação Técnica	2025	 2025.000000152-23	Falta assinatura da Mari e Diretoria no Plano de Curso. 	Não precificado		SIM		SIM	Não	
Educacional 	FIC	Cultura Brasileira: Tradições, Diversidade e Sociedade	20	80.90	2025	Aperfeiçoamento	2025	2025.000002001-28	Falta assinatura da Diretoria no Plano de Curso. 	2026 | R$ 148,00		SIM 		 	 	
Educacional Social	Aprendizagem	Aprendizagem Profissional de Qualificação em Comércio de bens, serviços e turismo	1920	3093	2024	Aprendizagem	2025	2024.000004975-47	Verificar o número do SIG	2025 | R$ 2920,00		 		 	 	
Social	FIC	Aprendizagem Profissional de Qualificação em Comércio de bens, serviços e turismo	1920	3093	2024	Aprendizagem	2025	2024.000004975-47	"Processo aberto na NC para atualização do Parecer de Precificação/
Falta assinatura da Diretoria no Plano de Curso"	"2025 | R$ 2.920,00
(valor antigo referente a carga horária de 1.800 h)"		SIM		SIM	Não	
Moda	FIC	Ajustes e Reformas do Vestuário 	40	110503	2017/1	Aperfeiçoamento	2025	2023.000001254-11	OK	2025 | R$549,99 		SIM	SIM			
Moda	FIC	Análise de Coloração Pessoal	40	89305	2022/1	Aperfeiçoamento	2025	2023.000001333-41	"Falta assinatura do instrutor no Parecer/
Processo aberto na INST"	2025 - R$ 300,99		SIM	SIM			
Moda	FIC	Aperfeiçoamento em Corte E Costura 	60	110971	2019/2	Aperfeiçoamento	2025	2023.000001224-98	OK	2025 | R$ 1.204,99		SIM	SIM			
Moda	FIC	Branding e Marketing de Moda 	60	66064	2019	Aperfeiçoamento	2025	2023.000001392-00		2025 | R$ 449,99 		SIM	SIM			
Moda	FIC	Consultoria de Estilo-Personal Stylist	60	110509	2017/1	Aperfeiçoamento	2025	2023.000001642-21		2025 | R$455,00		SIM	SIM			
Moda	FIC	Consultoria de Imagem 	160	110879	2019/1	Aperfeiçoamento	2023	2023.000001402-16	"Falta assinatura do instrutor no Parecer/
Processo aberto na INST"	2024 | R$ 1.290,00		SIM	SIM			
Moda	FIC	Costura Criativa 	80	110880	2022/1	Aperfeiçoamento	2025	2023.000001643-10	Projeto Carreta/Comercial - Seu preço inclui entrega de equipamentos/utensílios	2025 | R$1.390,00		SIM	SIM			
Moda	FIC	Costura Prática e Moda Criativa 	100	113362	2024/1	Aperfeiçoamento	2024	2024.000001574-44		2025 | R$960,00		SIM	SIM			
Moda	FIC	Costureiro 	212	67542	2019/1	Qualificação Profissional	2025	2023.000000244-88		2025 | R$ 2.885,00		SIM	SIM			
Moda	FIC	Desenho de Moda Digital	95	110510	2017/1	Aperfeiçoamento	2023	2023.000001405-51		2024 | R$568,00		SIM	SIM			
Moda	FIC	Estamparia -  Design de Superfície	80	110889	2018/1	Aperfeiçoamento		2023.000001449-71		2024 | R$490,00		SIM	SIM			
Moda	FIC	Estilista de Moda	408	105048	2019/2	Qualificação Profissional	2025	2023.000001244-31		2025 | R$3899,00		SIM	SIM			
Moda	FIC	Moda Pet	40	111002	2022/2	Aperfeiçoamento	2025	2023.000001646-54		"2025 | R$ 890,00
"		SIM	SIM			
Moda	FIC	Modelagem de Alfaiataria Feminina	100	111658	2023/2	Aperfeiçoamento	2024	2024.000001347-46		2025 | R$ 1.209,00		SIM	SIM			
Moda	FIC	Modelagem para Corset	80	113796	2023/2	Aperfeiçoamento	2025	2024.000001537-08		"2025 | R$ 1.036,99
"		SIM	SIM			
Moda	FIC	Modelista	210	70599	2019/1	Qualificação Profissional	2025	2023.000000193-01	"
Necessário infraestrutura específica: Minimo 10 manequins de moulage
Sem assinaturas no Parecer"	"2025 | R$  1.852,00

"		SIM	SIM			
Moda	FIC	Moulage	80	113791	2023/2	Aperfeiçoamento	2024	2024.000001851-46	"RESOLUÇÃO SENAC AR/DF 1535/2024 (SOBRADINHO)
/CEP's autorizados: Ceilândia, Jessé Freire e Sobradinho"	"2025| R$  990,00
"		SIM	SIM			
Moda	Técnico de Nível Médio	Técnico em Produção de Moda 	800	54796	2017/1	Habilitação Técnica de Nível Médio	2025	2023.000001502-71	"Precificação Antiga/
Processo aberto na INST"	Em novo processo de precificação - Precificação no site 2023/2024 R$R$ 4.756,00		SIM	SIM			
Moda	FIC	Vitrinismo e Visual Merchandising para o Varejo de Moda 	108	70802	2019	Aperfeiçoamento	2023	2023.000001257-56	OK	 2023/2024 - R$ 1.200,00		SIM	SIM			
Moda	FIC	Moda Sustentável: Criatividade na Confecção de Peças	80		2025	Aperfeiçoamento	2025	2025.000002288-12	OK	2025 | R$ 1.806,10		SIM	SIM			
Moda	FIC	Técnicas de Costura e Acabamento	80		2026	Aperfeiçoamento	2026	2025.000003199-58	2025.000003199-58	2026 | R$ 1.200,00		SIM	SIM			
							
																			
																			
